id,name,producerName,id,name,subscribersCount,data
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,4,Province e Città Metropolitane,4,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":4}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,4,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":4}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,7,Regioni e Province autonome,5,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":5}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,9,Scuole,2,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,10,Università e AFAM,2,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,12,Stazioni Appaltanti e Gestori di pubblici servizi,2,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,13,Privati,65,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""13"",""name"":""Privati"",""subscribersCount"":65}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,1,Altre Pubbliche Amministrazioni locali,9,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":9}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,2,Aziende Ospedaliere e ASL,1,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
